product.sku;product_description.name.hu;product.weight;product.weight_class_id;product.image;product_to_category.category_name;product.manufacturer_id;product.product_class_id;attr_values.anyag.hu;attr_values.rogzites.hu;attr_values.csaptipus.hu;attr_values.szemforma.hu;attr_values.osztas;attr_values.belsoheveder;attr_values.gorgoatmero;attr_values.csapatmero;attr_values.csaphossz;attr_values.huvelyatmero;attr_values.fogszam;attr_values.fogedzett.hu;attr_values.kivitel.hu;attr_values.hevederek_szama.hu;attr_values.lanckerektipus.hu;attr_values.feluletkezeles.hu;product_special.price;product_special.date_start;product_special.date_end;product_description.short_description.hu;product.quantity_2;product.alapar;product.tax_class_id;product_description.quantity_name.hu;product_image.image.0;attr_values.huzal_atmero;attr_values.belso_hossz
N-GLPSZ-7-12B2;12 B-2 patentszem;0.048;Kg.;product/N-GLPSZ-2.png;Patentszemek;Prémium;Görgőslánc;;;Tömör;Egyenes;19,050;;;5,72;46,8;;;;;;;;;;;12B2: 2 soros rugós lemezes rögzítésű acél patentszem. Osztás: 19,050 mm., csaphosszúság: 46,8 mm., csapátmérő: 5,72 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;178.0;2268.0;27.0;db;product/D-GLPSZ-2.png;;
N-GLHOK-7-12B2;12 B-2 hajlított összekötőszem;0.048;Kg.;product/N-GLHOK-2.png;Patentszemek;Prémium;Görgőslánc;;;Tömör;Hajlított;19,050;;;5,72;46,8;;;;;;;;;;;12B2: 2 soros sasszeges rögzítésű hajlított patentszem. Osztás: 19,050 mm., csaphosszúság: 46,8 mm., csapátmérő: 5,72 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;91.0;5283.0;27.0;db;product/D-GLHOK-2.png;;
N-KR-10-08B1_Z32_G;"KR 08 B-1 Z=32 agyas lánckerék ""G""";1.29;Kg.;product/N-KR-1_G.png;Lánckerekek;Európai;Lánckerék;;;;;;;;;;;32;Fogedzett;;;Agyas lánckerék;;;;;"08B1 fogedzett, egysoros, 32 fogú agyas lánckerék. <p style='color: red;'>Amennyiben a lánckereket megmunkálva kívánja beszerezni, vegye fel a kapcsolatot munkatársunkkal!</p><p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>";8.0;4339.2;27.0;db;product/D-KR-1.png;;
N-SZL-9-8x52;8x52 mm DIN 763 natúr teherlánc;1.1;Kg.;product/N-SZL.png;Szemesláncok;Európai;Szemeslánc;Acél;;;;;;;;;;;;;;;Nincs;;;;Standard nincs, acél, 8 mm huzalátmérőjű, 52 mm belső hosszúságú <p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;;2171.6;27.0;m;product/D-SZL.png;8;52
N-GL-1-12B1;12 B-1 görgőslánc;1.25;Kg.;product/N-GL-1.png;Görgősláncok;Távol-keleti;Görgőslánc;Acél;;Tömör;;19,050;11,68;12,07;;;;;;;;;;;;;12B1: 1 soros, 19,050 mm. osztású, 11,68 mm belső hevedertávolságú, 12,07 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;700.545;2509.1;27.0;m;product/D-GL-1.png;;
N-GLPSZ-1-12B1;12 B-1 patentszem;0.024;Kg.;product/N-GLPSZ-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Egyenes;19,050;;;5,72;27,3;;;;;;;;;;;12B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 19,050 mm., csaphosszúság: 27,3 mm., csapátmérő: 5,72 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;803.0;247.5;27.0;db;product/D-GLPSZ-1.png;;
N-GLHOK-1-12B1;12 B-1 hajlított összekötőszem;0.024;Kg.;product/N-GLHOK-1.png;Patentszemek;Távol-keleti;Görgőslánc;;;Tömör;Hajlított;19,050;;;5,72;27,3;;;;;;;;;;;12B1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 19,050 mm., csaphosszúság: 27,3 mm., csapátmérő: 5,72 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;705.0;346.5;27.0;db;product/D-GLHOK-1.png;;
N-GL-4-12B1;12 B-1 görgőslánc;1.25;Kg.;product/N-GL-1.png;Görgősláncok;Európai;Görgőslánc;Acél;;Tömör;;19,050;11,68;12,07;;;;;;;;;;;;;12B1: 1 soros, 19,050 mm. osztású, 11,68 mm belső hevedertávolságú, 12,07 mm. görgőátmérőjű acél görgőslánc.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;272.5;4174.0;27.0;m;product/D-GL-1.png;;
N-GLPSZ-4-12B1;12 B-1 patentszem;0.024;Kg.;product/N-GLPSZ-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Egyenes;19,050;;;5,72;27,3;;;;;;;;;;;12B1: 1 soros rugós lemezes rögzítésű acél patentszem. Osztás: 19,050 mm., csaphosszúság: 27,3 mm., csapátmérő: 5,72 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;317.0;415.0;27.0;db;product/D-GLPSZ-1.png;;
N-GLHOK-4-12B1;12 B-1 hajlított összekötőszem;0.024;Kg.;product/N-GLHOK-1.png;Patentszemek;Európai;Görgőslánc;;;Tömör;Hajlított;19,050;;;5,72;27,3;;;;;;;;;;;12B1: 1 soros sasszeges rögzítésű hajlított patentszem. Osztás: 19,050 mm., csaphosszúság: 27,3 mm., csapátmérő: 5,72 mm.<p><strong>Figyelem!</strong><br>A termékkép illusztráció, a pontos műszaki tartalmat a cikkszám és a termék megnevezése tartalmazza! Kérdés, kérés esetén hívja munkatársunkat, vagy vegye fel velünk a kapcsolatot!</p>;533.0;710.0;27.0;db;product/D-GLHOK-1.png;;
